id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,70417,TON,2013
2,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,73544,TON,2013
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,524,TON,2013
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,12389,TON,2013
5,32,JAWA BARAT,3207,KABUPATEN CIAMIS,53,TON,2013
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4807,TON,2013
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,500,TON,2013
8,32,JAWA BARAT,3205,KABUPATEN GARUT,43872,TON,2013
9,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,503,TON,2013
10,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11,TON,2013
11,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12261,TON,2013
12,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1693,TON,2013
13,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,39,TON,2013
15,32,JAWA BARAT,3213,KABUPATEN SUBANG,2844,TON,2013
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,11098,TON,2013
17,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11031,TON,2013
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3185,TON,2013
19,32,JAWA BARAT,3273,KOTA BANDUNG,1351,TON,2013
20,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2013
21,32,JAWA BARAT,3275,KOTA BEKASI,5,TON,2013
22,32,JAWA BARAT,3271,KOTA BOGOR,1363,TON,2013
23,32,JAWA BARAT,3277,KOTA CIMAHI,1835,TON,2013
24,32,JAWA BARAT,3274,KOTA CIREBON,7,TON,2013
25,32,JAWA BARAT,3276,KOTA DEPOK,1573,TON,2013
26,32,JAWA BARAT,3272,KOTA SUKABUMI,299,TON,2013
27,32,JAWA BARAT,3278,KOTA TASIKMALAYA,344,TON,2013
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72929,TON,2014
29,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79136,TON,2014
30,32,JAWA BARAT,3216,KABUPATEN BEKASI,135,TON,2014
31,32,JAWA BARAT,3201,KABUPATEN BOGOR,11154,TON,2014
32,32,JAWA BARAT,3207,KABUPATEN CIAMIS,54,TON,2014
33,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4590,TON,2014
34,32,JAWA BARAT,3209,KABUPATEN CIREBON,459,TON,2014
35,32,JAWA BARAT,3205,KABUPATEN GARUT,42658,TON,2014
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,644,TON,2014
37,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11,TON,2014
38,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12063,TON,2014
39,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1736,TON,2014
40,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10,TON,2014
42,32,JAWA BARAT,3213,KABUPATEN SUBANG,2553,TON,2014
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9871,TON,2014
44,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10896,TON,2014
45,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3285,TON,2014
46,32,JAWA BARAT,3273,KOTA BANDUNG,1502,TON,2014
47,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2014
48,32,JAWA BARAT,3275,KOTA BEKASI,94,TON,2014
49,32,JAWA BARAT,3271,KOTA BOGOR,1371,TON,2014
50,32,JAWA BARAT,3277,KOTA CIMAHI,2046,TON,2014
51,32,JAWA BARAT,3274,KOTA CIREBON,12,TON,2014
52,32,JAWA BARAT,3276,KOTA DEPOK,1116,TON,2014
53,32,JAWA BARAT,3272,KOTA SUKABUMI,261,TON,2014
54,32,JAWA BARAT,3278,KOTA TASIKMALAYA,413,TON,2014
55,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73608,TON,2015
56,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,81873,TON,2015
57,32,JAWA BARAT,3216,KABUPATEN BEKASI,124,TON,2015
58,32,JAWA BARAT,3201,KABUPATEN BOGOR,17473,TON,2015
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,174,TON,2015
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5216,TON,2015
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,305,TON,2015
62,32,JAWA BARAT,3205,KABUPATEN GARUT,30556,TON,2015
63,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2015
64,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15,TON,2015
65,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11358,TON,2015
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1706,TON,2015
67,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2015
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2015
69,32,JAWA BARAT,3213,KABUPATEN SUBANG,2259,TON,2015
70,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5144,TON,2015
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9532,TON,2015
72,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3429,TON,2015
73,32,JAWA BARAT,3273,KOTA BANDUNG,1552,TON,2015
74,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2015
75,32,JAWA BARAT,3275,KOTA BEKASI,135,TON,2015
76,32,JAWA BARAT,3271,KOTA BOGOR,1802,TON,2015
77,32,JAWA BARAT,3277,KOTA CIMAHI,1849,TON,2015
78,32,JAWA BARAT,3274,KOTA CIREBON,13,TON,2015
79,32,JAWA BARAT,3276,KOTA DEPOK,1114,TON,2015
80,32,JAWA BARAT,3272,KOTA SUKABUMI,261,TON,2015
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,450,TON,2015
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,64996,TON,2016
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,119392,TON,2016
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,185,TON,2016
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,15701,TON,2016
86,32,JAWA BARAT,3207,KABUPATEN CIAMIS,242,TON,2016
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5829,TON,2016
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,196,TON,2016
89,32,JAWA BARAT,3205,KABUPATEN GARUT,34080,TON,2016
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,126,TON,2016
91,32,JAWA BARAT,3215,KABUPATEN KARAWANG,18,TON,2016
92,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15742,TON,2016
93,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1728,TON,2016
94,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2016
96,32,JAWA BARAT,3213,KABUPATEN SUBANG,2613,TON,2016
97,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8036,TON,2016
98,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20502,TON,2016
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5079,TON,2016
100,32,JAWA BARAT,3273,KOTA BANDUNG,2149,TON,2016
101,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2016
102,32,JAWA BARAT,3275,KOTA BEKASI,131,TON,2016
103,32,JAWA BARAT,3271,KOTA BOGOR,1504,TON,2016
104,32,JAWA BARAT,3277,KOTA CIMAHI,1887,TON,2016
